season,row_count,generated_at_utc
2003,4773,2026-08-01 15:29:41 UTC
2004,4780,2026-08-01 15:29:41 UTC
2005,4856,2026-08-01 15:29:42 UTC
2006,4873,2026-08-01 15:29:42 UTC
2007,5239,2026-08-01 15:29:42 UTC
2008,5341,2026-08-01 15:29:43 UTC
2009,5430,2026-08-01 15:29:43 UTC
2010,5450,2026-08-01 15:29:43 UTC
2011,5461,2026-08-01 15:29:44 UTC
2012,5463,2026-08-01 15:29:44 UTC
2013,5484,2026-08-01 15:29:45 UTC
2014,5588,2026-08-01 15:29:45 UTC
2015,5603,2026-08-01 15:29:45 UTC
2016,5619,2026-08-01 15:29:46 UTC
2017,5622,2026-08-01 15:29:46 UTC
2018,5630,2026-08-01 15:29:46 UTC
2019,5658,2026-08-01 15:29:47 UTC
2020,5434,2026-08-01 15:29:47 UTC
2021,3823,2026-08-01 15:29:47 UTC
2022,5534,2026-08-01 15:29:48 UTC
2023,5828,2026-08-01 15:29:48 UTC
2024,5923,2026-08-01 15:29:49 UTC
2025,5648,2026-08-01 15:29:51 UTC
2026,6054,2026-08-01 15:29:52 UTC
