season,athlete_id,guid,uid,slug,type,first_name,last_name,full_name,display_name,short_name,height,display_height,weight,display_weight,age,date_of_birth,birth_city,birth_state,birth_country,jersey,position_id,position_name,position_abbreviation,position_display_name,college_id,current_team_id,headshot_href,experience_years,status_id,status_name,status_type,draft_year,draft_round,draft_selection,active
2007,664,474a5ba0-b0bf-a84b-f1d5-d16dabc8c149,s:40~l:54~a:664,carmen-bruce,basketball,Carmen,Bruce,Carmen Bruce,Carmen Bruce,C. Bruce,,,,,,,,,,,0,Not Available,NA,Not Available,46,,,,2,Inactive,inactive,,,,false
2007,1045,beec0709-c0a1-1cd4-9eb8-424362f2248f,s:40~l:54~a:1045,pam-cruz,basketball,Pam,Cruz,Pam Cruz,Pam Cruz,P. Cruz,,,,,,,,,,,0,Not Available,NA,Not Available,311,,,,2,Inactive,inactive,,,,false
2007,1047,d5b66c78-5def-88e3-d09d-201287ed900f,s:40~l:54~a:1047,ellen-geraghty,basketball,Ellen,Geraghty,Ellen Geraghty,Ellen Geraghty,E. Geraghty,,,,,,,,,,,0,Not Available,NA,Not Available,311,,,,2,Inactive,inactive,,,,false
2007,1053,c1839801-5cfb-3e12-47ba-b1745a4a7d74,s:40~l:54~a:1053,eva-moldre,basketball,Eva,Moldre,Eva Moldre,Eva Moldre,E. Moldre,,,,,,,,,,,0,Not Available,NA,Not Available,311,,,,2,Inactive,inactive,,,,false
2007,1565,3de40e7f-4ec3-cf48-a4a9-c1e82de85999,s:40~l:54~a:1565,katie-kilker,basketball,Katie,Kilker,Katie Kilker,Katie Kilker,K. Kilker,,,,,,,,,,,0,Not Available,NA,Not Available,219,,,,2,Inactive,inactive,,,,false
2007,1568,8445595b-e731-2b3c-2f29-949c117011ce,s:40~l:54~a:1568,tara-twomey,basketball,Tara,Twomey,Tara Twomey,Tara Twomey,T. Twomey,,,,,,,,,,,0,Not Available,NA,Not Available,219,,,,2,Inactive,inactive,,,,false
2007,2381,ed687ef9-10c0-cf63-081c-dcecad6e12aa,s:40~l:54~a:2381,megan-mccracken,basketball,Megan,McCracken,Megan McCracken,Megan McCracken,M. McCracken,68.0,"5' 8""",,,,,,,,,0,Not Available,NA,Not Available,66,,,1,2,Inactive,inactive,,,,false
2007,2407,43f940a8-52a2-0237-ccdb-db8e6e9df4d9,s:40~l:54~a:2407,amber-metoyer,basketball,Amber,Metoyer,Amber Metoyer,Amber Metoyer,A. Metoyer,71.0,"5' 11""",,,,,,,,,0,Not Available,NA,Not Available,38,,,2,2,Inactive,inactive,,,,false
2007,2413,41b578c6-d4dc-c1a3-3939-f9608c7303be,s:40~l:54~a:2413,tamika-kursh,basketball,Tamika,Kursh,Tamika Kursh,Tamika Kursh,T. Kursh,73.0,"6' 1""",,,,,,,,,0,Not Available,NA,Not Available,2348,,,1,2,Inactive,inactive,,,,false
2007,2418,d120aa2e-c7d8-333a-9fa6-344754fce60f,s:40~l:54~a:2418,sarah-larsen,basketball,Sarah,Larsen,Sarah Larsen,Sarah Larsen,S. Larsen,68.0,"5' 8""",,,,,,,,,0,Not Available,NA,Not Available,2460,,,,2,Inactive,inactive,,,,false
